model,train/loss,train/mClassAcc,train/mAcc,val/loss,val/mClassAcc,val/mAcc,params
SimpleCNNOpt,"(2.121333122253418, 1.8918124437332153, 1.8293625116348267, 2.067516803741455, 2.0296084880828857, 2.0112853050231934, 2.051377058029175, 1.8873376846313477, 2.000598430633545, 1.7137794494628906)","(0.15228328704833985, 0.22968883402645587, 0.25904572904109957, 0.2911472260951996, 0.3079242415726185, 0.325574791431427, 0.34573631882667544, 0.35186282694339754, 0.3532919272780418, 0.372529037296772)","(0.1522, 0.2286, 0.2583, 0.2904, 0.3077, 0.325, 0.3453, 0.3515, 0.3532, 0.3721)","(2.1667447090148926, 1.7357958555221558, 2.154097080230713, 1.9266326427459717, 1.524082899093628, 1.7006840705871582, 1.6580239534378052, 1.5911693572998047, 1.7056573629379272, 1.7560126781463623)","(0.2228614130988717, 0.2852677697315812, 0.3093410888686776, 0.33736105300486086, 0.3368295211344957, 0.3646765135228634, 0.37719600796699526, 0.38605937063694, 0.3763621598482132, 0.3959214098751545)","(0.2223, 0.286, 0.3097, 0.338, 0.3371, 0.3652, 0.3779, 0.3871, 0.3779, 0.3957)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
SimpleCNNOpt,"(2.215575933456421, 2.0017662048339844, 1.8289555311203003, 2.038222074508667, 1.602705478668213, 1.6070592403411865, 1.4831950664520264, 1.6519230604171753, 1.9686092138290405, 2.09165096282959)","(0.14177053160965442, 0.23175953924655915, 0.27454074174165727, 0.30837807804346085, 0.32625840306282045, 0.33528079837560654, 0.3528100520372391, 0.3495152503252029, 0.3578708231449127, 0.3745745122432709)","(0.1422, 0.2321, 0.2743, 0.3085, 0.3266, 0.3353, 0.3531, 0.3499, 0.3581, 0.3749)","(2.174053907394409, 1.9236629009246826, 1.6449614763259888, 1.7067731618881226, 1.5271546840667725, 1.6377573013305664, 1.7306355237960815, 2.0984349250793457, 1.5668859481811523, 1.6232610940933228)","(0.2032399881631136, 0.29625311940908433, 0.3302498921751976, 0.34312845319509505, 0.3583736248314381, 0.3714678943157196, 0.3792020432651043, 0.3689162150025368, 0.38050960227847097, 0.39663723260164263)","(0.204, 0.2964, 0.3308, 0.3433, 0.3584, 0.3709, 0.3791, 0.3685, 0.3804, 0.3962)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
SimpleCNNOpt,"(1.8890795707702637, 1.9202848672866821, 1.7299785614013672, 1.7438123226165771, 1.5610195398330688, 1.6576035022735596, 1.784582257270813, 1.3255391120910645, 1.4278976917266846, 1.48865807056427)","(0.1690131563693285, 0.288243405520916, 0.33432655334472655, 0.37197417616844175, 0.39861862659454345, 0.4171817392110825, 0.4329581454396248, 0.44119340777397154, 0.460601781308651, 0.4723826661705971)","(0.1687, 0.2881, 0.3345, 0.3721, 0.3988, 0.417, 0.4328, 0.4413, 0.4607, 0.4724)","(1.9095313549041748, 1.9718390703201294, 1.8292230367660522, 1.5199800729751587, 1.4605185985565186, 1.3493914604187012, 1.7256814241409302, 1.2848260402679443, 1.6391154527664185, 1.4139423370361328)","(0.2706238301470876, 0.3489734083414078, 0.3854565113782883, 0.3987765617668629, 0.40812734216451646, 0.43047717250883577, 0.43797336220741273, 0.4521643340587616, 0.45476395189762114, 0.44866119176149366)","(0.2712, 0.3492, 0.3852, 0.3982, 0.4079, 0.4305, 0.4375, 0.4522, 0.4545, 0.4489)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
SimpleCNNOpt,"(2.0654501914978027, 2.455153703689575, 1.8372626304626465, 1.392192006111145, 1.1066396236419678, 1.4458914995193481, 1.4177584648132324, 1.6981797218322754, 1.553875207901001, 1.1676602363586426)","(0.14097779504954816, 0.22585973031818868, 0.2929991163313389, 0.34494818150997164, 0.36926479190587996, 0.39302135556936263, 0.41139581650495527, 0.4390285834670067, 0.4612075865268707, 0.46686701476573944)","(0.1409, 0.2256, 0.2933, 0.3448, 0.3689, 0.3926, 0.411, 0.4385, 0.4605, 0.4667)","(2.098531484603882, 1.8074862957000732, 2.1174094676971436, 1.6620564460754395, 1.3831653594970703, 1.374734878540039, 1.8473005294799805, 1.795003056526184, 1.896486520767212, 1.5020105838775635)","(0.21960576041601598, 0.2897412650287151, 0.34513346031308173, 0.39377892911434176, 0.3625377006828785, 0.4151162654161453, 0.4260761678218842, 0.4434168666601181, 0.44912606179714204, 0.45735807418823243)","(0.219, 0.2893, 0.3453, 0.3948, 0.3629, 0.4159, 0.4268, 0.4437, 0.4503, 0.4576)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
SimpleCNNOpt,"(2.278508424758911, 2.2581851482391357, 1.9106149673461914, 1.9341851472854614, 2.0298938751220703, 1.8352853059768677, 1.737454891204834, 2.0389139652252197, 1.7986019849777222, 1.5708186626434326)","(0.14373946003615856, 0.20092777870595455, 0.2445065051317215, 0.2788619942963123, 0.29721584990620614, 0.3063086360692978, 0.3201063349843025, 0.33891763985157014, 0.32905613631010056, 0.3435215651988983)","(0.1437, 0.2009, 0.2443, 0.2785, 0.2971, 0.306, 0.3196, 0.3388, 0.3286, 0.3435)","(2.161367654800415, 2.3513612747192383, 2.18388295173645, 2.2440853118896484, 1.570693850517273, 2.1276755332946777, 1.8819384574890137, 1.7627512216567993, 1.8321993350982666, 1.725961446762085)","(0.20520923417061568, 0.2447628602385521, 0.256296468526125, 0.29531958401203157, 0.32544146105647087, 0.3275415189564228, 0.3479960966855288, 0.35001477748155596, 0.33381480276584624, 0.3460291400551796)","(0.204, 0.2439, 0.2566, 0.2948, 0.3258, 0.3272, 0.348, 0.3499, 0.333, 0.3458)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
SimpleCNNOpt,"(2.11977219581604, 2.185474395751953, 1.8655962944030762, 2.11299729347229, 2.012483596801758, 1.681587815284729, 1.7247185707092285, 1.9956039190292358, 2.0730998516082764, 1.1562000513076782)","(0.1563747376203537, 0.25808425098657606, 0.2941032886505127, 0.3204122506082058, 0.33452032431960105, 0.3516507685184479, 0.3602556616067886, 0.3686900556087494, 0.38083311468362807, 0.3935238912701607)","(0.1563, 0.2582, 0.2939, 0.3201, 0.3338, 0.3514, 0.3597, 0.3684, 0.3805, 0.3929)","(2.243767738342285, 1.689585566520691, 1.707643985748291, 1.7118127346038818, 1.8374834060668945, 1.4968290328979492, 1.5504671335220337, 1.747298002243042, 1.3789764642715454, 1.4025567770004272)","(0.2563019620720297, 0.28519902378320694, 0.3446195922791958, 0.3513371028006077, 0.37958190590143204, 0.380714475736022, 0.3832872539758682, 0.3973842941224575, 0.41348965615034106, 0.4183837488293648)","(0.2561, 0.2847, 0.3456, 0.3519, 0.3801, 0.3809, 0.3836, 0.398, 0.4145, 0.4195)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
SimpleCNNOpt,"(1.9896129369735718, 1.8642027378082275, 1.6821902990341187, 1.8924723863601685, 1.5563132762908936, 1.5529918670654297, 0.9732251763343811, 1.4234733581542969, 1.3381807804107666, 0.9858126640319824)","(0.17873896099627018, 0.28546341732144354, 0.33620901256799696, 0.3806379556655884, 0.4120305567979813, 0.43274681717157365, 0.46071682274341585, 0.4805604726076126, 0.4927610754966736, 0.5118228465318679)","(0.1786, 0.2857, 0.3367, 0.3805, 0.4122, 0.4328, 0.4609, 0.4807, 0.4927, 0.5119)","(2.1293303966522217, 1.3395661115646362, 1.405155062675476, 1.5797569751739502, 1.9108128547668457, 1.6676855087280273, 1.4144755601882935, 1.4763835668563843, 1.4228103160858154, 1.4447622299194336)","(0.27638653526082635, 0.3566773634403944, 0.37261813133955, 0.4022976592183113, 0.38740379810333253, 0.42525251060724256, 0.43451945334672926, 0.43277357816696166, 0.44085626900196073, 0.43582466542720794)","(0.2779, 0.3568, 0.3728, 0.4024, 0.3879, 0.4254, 0.4344, 0.4334, 0.4407, 0.4372)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
SimpleCNNOpt,"(2.1373653411865234, 2.4892098903656006, 1.6987828016281128, 1.8921719789505005, 1.5186495780944824, 1.6552284955978394, 1.7328156232833862, 1.1984078884124756, 1.5387990474700928, 1.0921250581741333)","(0.14718644190579652, 0.25103024393320084, 0.31991893649101255, 0.35778794139623643, 0.4036972805857658, 0.4373487502336502, 0.4806802362203598, 0.5041483253240585, 0.5261271685361862, 0.5592869073152542)","(0.1468, 0.2505, 0.3194, 0.3572, 0.4031, 0.4369, 0.4801, 0.5036, 0.5258, 0.5591)","(2.077903985977173, 1.797987937927246, 1.6806644201278687, 1.4436641931533813, 1.750697374343872, 1.4376909732818604, 1.1729010343551636, 1.6491703987121582, 2.33430814743042, 1.9199647903442383)","(0.23871155199594796, 0.31240074913948773, 0.2907407804392278, 0.38122486472129824, 0.398918142914772, 0.4025073006749153, 0.43185979425907134, 0.43441982567310333, 0.44145332276821136, 0.43976484686136247)","(0.2377, 0.3118, 0.2888, 0.3818, 0.399, 0.4023, 0.4319, 0.434, 0.442, 0.4404)","{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
SimpleCNNOpt,"(2.266101837158203, 2.267676591873169, 2.2020108699798584, 2.0023794174194336, 1.8228745460510254, 2.182321071624756, 1.612313985824585, 1.8088080883026123, 1.839040994644165, 2.2733514308929443)","(0.11865678559988738, 0.14620386231690646, 0.16954205073416234, 0.18783876076340675, 0.21075590327382088, 0.23324196189641952, 0.24492913708090783, 0.25748013481497767, 0.2647459000349045, 0.27379073947668076)","(0.1188, 0.1456, 0.169, 0.1876, 0.2112, 0.233, 0.2448, 0.2577, 0.265, 0.2745)","(2.296126127243042, 2.261005401611328, 2.154937267303467, 2.10477352142334, 2.0678727626800537, 1.705585241317749, 1.9544579982757568, 2.0261776447296143, 1.8368360996246338, 1.9410269260406494)","(0.13692524540238082, 0.16609109200071542, 0.19197184310760348, 0.21180289201438426, 0.24234087616205216, 0.26816646158695223, 0.2871801251545548, 0.27983679473400114, 0.3025341503322124, 0.30997764728963373)","(0.1375, 0.1669, 0.1931, 0.2123, 0.2427, 0.2687, 0.2874, 0.2797, 0.3029, 0.311)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
SimpleCNNOpt,"(2.278811454772949, 2.2626748085021973, 2.3361034393310547, 2.157743215560913, 2.142263889312744, 2.1029052734375, 2.153848886489868, 1.8901633024215698, 1.7350287437438965, 1.789623498916626)","(0.11081526316702366, 0.12850135713815689, 0.15574397929012776, 0.18298777975142003, 0.20281389541924, 0.2183097667992115, 0.23362407013773917, 0.24656807333230973, 0.26852853298187257, 0.2719203416258097)","(0.1115, 0.1289, 0.1557, 0.1832, 0.2036, 0.2191, 0.2346, 0.2478, 0.2698, 0.2728)","(2.2710683345794678, 2.2538318634033203, 2.1955816745758057, 2.200606107711792, 1.9731676578521729, 1.8612481355667114, 1.6552025079727173, 1.7796012163162231, 1.6850192546844482, 1.8195784091949463)","(0.12925097572151573, 0.17226030076853932, 0.20080500575713814, 0.22952210642397403, 0.25903110653162004, 0.26911184303462504, 0.2634535379707813, 0.29401297569274903, 0.29797636792063714, 0.30408136881887915)","(0.1302, 0.1732, 0.2012, 0.2294, 0.2588, 0.2682, 0.2625, 0.2936, 0.2974, 0.3039)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
SimpleCNNOpt,"(2.11862850189209, 2.038567543029785, 1.9605724811553955, 1.6840920448303223, 2.2353458404541016, 1.8550266027450562, 2.0193963050842285, 1.653694987297058, 1.5610424280166626, 1.3685338497161865)","(0.13867428731173276, 0.19018635228276254, 0.23928078263998032, 0.2576121181249619, 0.2895351856946945, 0.30535216480493543, 0.3157228261232376, 0.335610568523407, 0.34474189281463624, 0.35978353321552276)","(0.137, 0.1897, 0.2393, 0.2581, 0.2898, 0.3053, 0.3157, 0.3361, 0.3448, 0.36)","(2.0789594650268555, 1.9743050336837769, 1.8835657835006714, 2.439331293106079, 1.716260313987732, 1.774584174156189, 1.64930260181427, 1.5867840051651, 1.6134077310562134, 1.8023653030395508)","(0.21977341324090957, 0.2896022591739893, 0.29577410221099854, 0.325132405012846, 0.35582405477762225, 0.35675161331892014, 0.3269300401210785, 0.39190887808799746, 0.3453413873910904, 0.4016577035188675)","(0.2212, 0.2902, 0.2963, 0.3251, 0.3563, 0.3565, 0.3281, 0.3917, 0.3444, 0.4023)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
SimpleCNNOpt,"(2.4946630001068115, 2.143686294555664, 1.8637276887893677, 1.794885277748108, 1.8639940023422241, 1.853064775466919, 1.9934488534927368, 1.7936736345291138, 2.3524656295776367, 1.7544807195663452)","(0.1349963393062353, 0.19800262972712518, 0.21744447499513625, 0.23623425140976906, 0.24845041036605836, 0.27385890036821364, 0.2790468692779541, 0.2842548996210098, 0.30472546964883807, 0.3064303457736969)","(0.1349, 0.1984, 0.217, 0.2357, 0.2478, 0.2733, 0.2783, 0.2839, 0.3045, 0.3064)","(2.163888454437256, 2.039811372756958, 2.0149965286254883, 1.7351244688034058, 1.8819068670272827, 1.5824483633041382, 1.7078746557235718, 1.9881868362426758, 1.9179490804672241, 1.8628425598144531)","(0.20543571682646872, 0.2724981248378754, 0.2834824550896883, 0.2896669123321772, 0.30051146298646925, 0.314881525747478, 0.3262284524738789, 0.3560746815055609, 0.3698420003056526, 0.36398214995861056)","(0.206, 0.2732, 0.2837, 0.2917, 0.3011, 0.3152, 0.3264, 0.3567, 0.3695, 0.3642)","{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
SimpleCNNOpt,"(2.271482467651367, 2.3388938903808594, 2.3529155254364014, 2.123906373977661, 2.1055054664611816, 2.281809091567993, 1.72761869430542, 2.014565944671631, 1.9052085876464844, 1.8440821170806885)","(0.10848301947116852, 0.13648284301161767, 0.15012875385582447, 0.16776027008891106, 0.17583035454154014, 0.2021915026009083, 0.21290935277938844, 0.22295006588101388, 0.23978573009371756, 0.2546565070748329)","(0.108, 0.1363, 0.15, 0.1676, 0.1755, 0.2023, 0.2132, 0.2236, 0.2411, 0.2556)","(2.300710678100586, 2.283339500427246, 2.234334945678711, 2.0497803688049316, 2.105620861053467, 2.169431686401367, 2.275887966156006, 2.0531504154205322, 1.874583125114441, 1.933923602104187)","(0.1292494590394199, 0.14704602574929596, 0.1838683571666479, 0.20357932876795531, 0.21217596102505923, 0.23218140937387943, 0.20847442597150803, 0.2879972465336323, 0.2835530608892441, 0.29829455316066744)","(0.1286, 0.146, 0.1836, 0.2041, 0.2115, 0.2315, 0.2088, 0.288, 0.2834, 0.2977)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
SimpleCNNOpt,"(2.293320655822754, 2.239138126373291, 2.2521257400512695, 2.06839656829834, 2.1893908977508545, 2.129183530807495, 2.2199487686157227, 1.9412626028060913, 2.1972596645355225, 1.7551931142807007)","(0.10113672437146307, 0.11364722680300474, 0.1395149253308773, 0.16196727715432643, 0.18826591819524766, 0.21605220139026643, 0.22252282351255417, 0.2487827055156231, 0.2685225043445826, 0.2840703070163727)","(0.1016, 0.1137, 0.14, 0.1626, 0.1889, 0.2165, 0.2226, 0.2488, 0.2679, 0.284)","(2.2788643836975098, 2.2460317611694336, 2.2801146507263184, 2.129361391067505, 2.0186476707458496, 2.157202959060669, 1.8205673694610596, 2.126094341278076, 1.6116491556167603, 1.9462316036224365)","(0.11453189123421907, 0.15398127660155297, 0.17548506839666517, 0.21103260908275842, 0.23890662495978177, 0.25576267095748334, 0.2719542809296399, 0.30678755501285193, 0.3146814214065671, 0.3269971081987023)","(0.115, 0.1549, 0.1756, 0.2113, 0.2391, 0.256, 0.2727, 0.3073, 0.3157, 0.3272)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
SimpleCNNOpt,"(2.4322831630706787, 2.3349502086639404, 2.2476000785827637, 2.0411291122436523, 1.8589359521865845, 1.5082497596740723, 1.7778311967849731, 1.738912582397461, 1.586700677871704, 1.885177493095398)","(0.12625282118096948, 0.16353460159152747, 0.20421041436493398, 0.23236969783902167, 0.252812060713768, 0.2834258884191513, 0.30367199927568433, 0.3155148677527905, 0.32727956846356393, 0.34313390254974363)","(0.1257, 0.1634, 0.204, 0.2324, 0.2526, 0.2836, 0.3038, 0.3157, 0.3271, 0.3433)","(2.309368848800659, 2.2375855445861816, 1.8897918462753296, 1.7612155675888062, 1.8626679182052612, 1.763930320739746, 1.9163364171981812, 1.7121615409851074, 1.8848886489868164, 1.8014036417007446)","(0.17115577552467584, 0.23553217966109513, 0.2559956207871437, 0.29995958842337134, 0.3107330746948719, 0.3312252055853605, 0.3398004125803709, 0.34536128044128417, 0.34805783107876775, 0.3723952449858189)","(0.1715, 0.2354, 0.2556, 0.2997, 0.3113, 0.3316, 0.3395, 0.3454, 0.3485, 0.3722)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
SimpleCNNOpt,"(2.073608875274658, 1.6510632038116455, 2.0645220279693604, 1.8073447942733765, 1.5520168542861938, 1.873267650604248, 1.7517404556274414, 1.6858028173446655, 1.6088975667953491, 1.8876678943634033)","(0.13500560130923986, 0.19843209646642207, 0.24616674780845643, 0.2713226892054081, 0.2979310221970081, 0.3199250176548958, 0.34198659360408784, 0.35351633429527285, 0.36511790603399275, 0.37770395427942277)","(0.1351, 0.1982, 0.2456, 0.2711, 0.2979, 0.3198, 0.3422, 0.354, 0.3657, 0.3779)","(2.116013288497925, 2.005466938018799, 2.1725075244903564, 1.7448371648788452, 1.641073226928711, 1.847739338874817, 1.880057692527771, 1.7099647521972656, 1.5140674114227295, 1.665520191192627)","(0.1776964080054313, 0.2678447047248483, 0.2906054358929396, 0.3068317823112011, 0.33257030323147774, 0.344581638276577, 0.3703686848282814, 0.36561736315488813, 0.3782130107283592, 0.38369797468185424)","(0.1785, 0.2673, 0.2911, 0.3064, 0.3328, 0.344, 0.37, 0.3655, 0.3782, 0.384)","{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
DeepCNNOpt,"(1.825013518333435, 1.7970490455627441, 1.8201453685760498, 1.9330928325653076, 1.1409441232681274, 0.9862594604492188, 1.4483275413513184, 2.0230891704559326, 1.6267359256744385, 1.2493963241577148)","(0.18939973711967467, 0.323988476395607, 0.3645384684205055, 0.3938593089580536, 0.4236637011170387, 0.4288185119628906, 0.4385544881224632, 0.4616720527410507, 0.4672625333070755, 0.47002854347229006)","(0.19, 0.324, 0.3639, 0.3937, 0.4239, 0.4291, 0.4388, 0.4616, 0.4676, 0.4701)","(2.0795958042144775, 2.0380592346191406, 1.612975835800171, 1.5159032344818115, 1.7665584087371826, 1.3289446830749512, 1.7351746559143066, 0.8699873685836792, 1.2979456186294556, 1.443098545074463)","(0.3268536224961281, 0.3570574760437012, 0.4114430695772171, 0.42197797298431394, 0.4403271287679672, 0.45650567710399625, 0.46650574207305906, 0.47478887140750886, 0.48575263023376464, 0.4967413604259491)","(0.3261, 0.3566, 0.4124, 0.4225, 0.4407, 0.4573, 0.4671, 0.4753, 0.4855, 0.4972)","{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
