model,train/loss,train/mClassAcc,train/mAcc,val/loss,val/mClassAcc,val/mAcc,test/loss,test/mClassAcc,test/mAcc
SimpleCNN,"(2.323148727416992, 2.3031349182128906, 2.3545408248901367, 2.195497751235962, 2.2149817943573, 2.1837894916534424, 2.058302879333496, 2.0624539852142334, 2.3193857669830322, 2.226642370223999)","(0.10112112425267697, 0.10708210596349091, 0.11819024072028697, 0.14257439766079189, 0.15041507594287395, 0.1622858714312315, 0.17727868519723416, 0.18536113798618317, 0.19956596344709396, 0.2219934158027172)","(0.1036, 0.1095, 0.1199, 0.1434, 0.151, 0.1627, 0.1777, 0.1859, 0.2002, 0.2224)","(2.3053886890411377, 2.312398910522461, 2.308795690536499, 2.3034632205963135, 2.1894242763519287, 2.037534236907959, 2.1923999786376953, 2.288851261138916, 1.9765434265136719, 1.8725780248641968)","(0.09904476141091437, 0.10265319549944252, 0.13046395778656006, 0.16570113711059092, 0.177139207161963, 0.18897052919492124, 0.19642971307039261, 0.22143042404204608, 0.2239308868534863, 0.2652150824666023)","(0.0945, 0.0983, 0.1305, 0.1659, 0.1773, 0.1888, 0.1954, 0.2207, 0.2212, 0.2646)",1.9104210222244264,0.2707000013440847,0.2707
DeepCNN,"(2.3521013259887695, 2.0262210369110107, 1.5430856943130493, 1.6961077451705933, 1.2089558839797974, 1.2459620237350464, 1.651864767074585, 1.7301864624023438, 1.49237060546875, 1.4972816705703735)","(0.17896648347377778, 0.2901139110326767, 0.3196601137518883, 0.3337412729859352, 0.35481183379888537, 0.35952783226966856, 0.3735535204410553, 0.3944885715842247, 0.4018119841814041, 0.4148711234331131)","(0.1795, 0.291, 0.3199, 0.3339, 0.3548, 0.36, 0.3742, 0.3946, 0.4022, 0.4151)","(1.741685152053833, 1.6977438926696777, 1.8379313945770264, 1.8751341104507446, 1.3924223184585571, 1.3269132375717163, 1.7445157766342163, 1.6494603157043457, 1.3237971067428589, 1.4057414531707764)","(0.31974007999524473, 0.34277949407696723, 0.34276268184185027, 0.3871674075722694, 0.4076027274131775, 0.4100007385015488, 0.4367946058511734, 0.43075632899999616, 0.4591467261314392, 0.4544531926512718)","(0.3198, 0.3437, 0.3437, 0.3877, 0.4069, 0.4094, 0.4367, 0.43, 0.4582, 0.4534)",1.4910815589904785,0.4615999981760978,0.4616
DeepNormalizedCNN,"(1.6820104122161865, 1.476676344871521, 1.8053014278411865, 1.5258749723434448, 1.2568857669830322, 1.572018027305603, 1.310236930847168, 1.919618010520935, 1.9394088983535767, 1.7523696422576904)","(0.26964321583509443, 0.35977372229099275, 0.3976296380162239, 0.4306232661008835, 0.45526187419891356, 0.4684284120798111, 0.48757093250751493, 0.4956390142440796, 0.5052240431308747, 0.5182825654745102)","(0.2694, 0.3591, 0.3971, 0.4305, 0.4552, 0.4683, 0.4877, 0.4958, 0.5053, 0.5181)","(1.6074765920639038, 2.0802295207977295, 1.790634036064148, 1.5357568264007568, 2.0021347999572754, 1.1910679340362549, 1.2374591827392578, 1.0546878576278687, 1.1455804109573364, 0.8948355913162231)","(0.3093743145465851, 0.3642546094954014, 0.397245366871357, 0.4167430028319359, 0.43072476238012314, 0.5262530267238616, 0.4338057413697243, 0.5050700023770333, 0.48168287351727485, 0.5214106798171997)","(0.3088, 0.365, 0.3959, 0.4177, 0.4313, 0.525, 0.4325, 0.5051, 0.4828, 0.5201)",1.3207285373687745,0.5221999973058701,0.5222
VisionTransformerShallow,"(2.629920244216919, 2.370744228363037, 2.4090781211853027, 2.287522554397583, 2.30540132522583, 2.0981478691101074, 2.1215498447418213, 2.2669289112091064, 2.0760233402252197, 2.3498308658599854)","(0.13320706114172937, 0.1321685440838337, 0.13302063196897507, 0.14832704663276672, 0.15079349726438523, 0.16486187726259233, 0.15784507989883423, 0.16644862070679664, 0.17185527682304383, 0.166059223562479)","(0.1338, 0.1326, 0.1337, 0.1493, 0.1515, 0.1658, 0.1595, 0.1682, 0.1731, 0.1675)","(2.2052104473114014, 2.5657079219818115, 2.481100559234619, 2.2487733364105225, 2.048383951187134, 1.9462593793869019, 2.002800941467285, 1.7123414278030396, 2.422679901123047, 2.2321791648864746)","(0.16647931300103663, 0.17190217562019824, 0.2068159323418513, 0.21335236988961698, 0.22942585907876492, 0.20652131792157888, 0.22305616438388826, 0.2216088334331289, 0.22206787774339318, 0.22881260020658373)","(0.1666, 0.1715, 0.2074, 0.2147, 0.2294, 0.2065, 0.2223, 0.2211, 0.2224, 0.2296)",2.094614607620239,0.2331999991089105,0.2332
VisionTransformerDeep,"(2.3038547039031982, 2.317124843597412, 2.3045237064361572, 2.315014362335205, 2.3104612827301025, 2.3023874759674072, 2.2951483726501465, 2.3007750511169434, 2.2910563945770264, 2.3090014457702637)","(0.09769904483109712, 0.09914091788232327, 0.09441838244674727, 0.09956821836531163, 0.09259163197129965, 0.0984343096613884, 0.09925584942102432, 0.09475317597389221, 0.0944185150321573, 0.1000092638656497)","(0.0986, 0.1012, 0.0962, 0.1015, 0.0943, 0.101, 0.1024, 0.0968, 0.0971, 0.1032)","(2.33280348777771, 2.3034708499908447, 2.3084778785705566, 2.3003437519073486, 2.3102240562438965, 2.2965617179870605, 2.3196656703948975, 2.3040153980255127, 2.3026795387268066, 2.307162284851074)","(0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1)","(0.0977, 0.0977, 0.1003, 0.1003, 0.098, 0.0952, 0.098, 0.0952, 0.1003, 0.0952)",2.3029911224365236,0.1,0.1
VisionTransformerDeepResidual,"(241.9098358154297, 164.18954467773438, 103.17784118652344, 144.8090057373047, 144.62176513671875, 62.47578430175781, 58.019554138183594, 63.10444641113281, 44.920536041259766, 50.33196258544922)","(0.17374088019132614, 0.2223655626177788, 0.22239828556776048, 0.2337079107761383, 0.25176211148500444, 0.253832246363163, 0.2502504214644432, 0.25206522941589354, 0.2616273447871208, 0.25984381288290026)","(0.174, 0.2228, 0.2225, 0.2339, 0.252, 0.2539, 0.2503, 0.2521, 0.2619, 0.26)","(499.8027038574219, 135.44236755371094, 189.6961669921875, 62.08654022216797, 98.99097442626953, 129.67127990722656, 49.65971374511719, 78.64408874511719, 86.53435516357422, 39.77867126464844)","(0.16909658249933274, 0.2548723111860454, 0.23908430822193621, 0.27259903848171235, 0.3002059444785118, 0.2986219868063927, 0.31442771926522256, 0.29802570417523383, 0.3082440663129091, 0.33403701782226564)","(0.1695, 0.2545, 0.2378, 0.2731, 0.3008, 0.3, 0.3145, 0.2994, 0.3071, 0.3336)",52.75859902954102,0.3321999996900558,0.3322
ResNet18opt,"(2.289670705795288, 1.894849419593811, 1.8696470260620117, 1.911037802696228, 1.4291123151779175, 1.0582808256149292, 1.3949922323226929, 1.7446547746658325, 1.6089369058609009, 1.005266785621643)","(0.26062999218702315, 0.3624389827251434, 0.4094644770026207, 0.45704734027385713, 0.4817262768745422, 0.5094860911369323, 0.5333919733762741, 0.5632658332586289, 0.5752963155508042, 0.5989196121692657)","(0.2602, 0.3617, 0.4093, 0.4567, 0.4818, 0.5094, 0.5335, 0.5632, 0.5756, 0.5992)","(1.906722068786621, 1.8782955408096313, 1.9240427017211914, 1.3583329916000366, 1.4973900318145752, 1.3212790489196777, 0.7957956790924072, 4.156811714172363, 1.259954571723938, 1.1079347133636475)","(0.3296696126461029, 0.3544305648654699, 0.3351218678988516, 0.4303164675831795, 0.46164339780807495, 0.44396916329860686, 0.5117454290390014, 0.23232960011810064, 0.46573152020573616, 0.5833895653486252)","(0.3305, 0.3551, 0.3357, 0.43, 0.4619, 0.4443, 0.5127, 0.2327, 0.4667, 0.5833)",1.210326997756958,0.5763999968767166,0.5764
SCNN,"(2.0028371810913086, 1.2860000133514404, 1.5365525484085083, 1.8465394973754883, 1.6500916481018066, 1.492071509361267, 1.3525431156158447, 1.6542607545852661, 1.9394114017486572, 1.6064636707305908)","(0.17541077435016633, 0.27095518782734873, 0.3213756173849106, 0.3525543689727783, 0.3783261403441429, 0.3920824497938156, 0.40533124953508376, 0.4120011568069458, 0.4239840269088745, 0.4398297116160393)","(0.1749, 0.2715, 0.322, 0.3529, 0.3789, 0.3924, 0.4058, 0.4121, 0.4243, 0.4401)","(2.2750113010406494, 1.9787406921386719, 1.6430790424346924, 1.6552742719650269, 1.6354649066925049, 2.290498733520508, 1.3679165840148926, 1.5789518356323242, 1.8623725175857544, 1.5304181575775146)","(0.24998638164252043, 0.31178320944309235, 0.37755848094820976, 0.3893149748444557, 0.3961025193333626, 0.42559638768434527, 0.43809096068143843, 0.4393997400999069, 0.44194814674556254, 0.4591868624091148)","(0.2495, 0.3109, 0.3769, 0.3887, 0.3958, 0.4256, 0.438, 0.4381, 0.4419, 0.4588)",1.514489521598816,0.4511999949812889,0.4512
DCNN,"(1.9104232788085938, 1.6794285774230957, 1.9413440227508545, 1.8123488426208496, 1.6116658449172974, 1.7531386613845825, 1.0790473222732544, 1.5305408239364624, 1.437959909439087, 1.0132359266281128)","(0.24951109290122986, 0.35957019925117495, 0.3950773075222969, 0.4208967760205269, 0.44994704723358153, 0.4711180150508881, 0.49769611060619356, 0.5147387325763703, 0.5276186466217041, 0.546167078614235)","(0.2493, 0.3593, 0.3946, 0.4206, 0.4498, 0.4711, 0.498, 0.515, 0.5278, 0.5462)","(1.8431986570358276, 1.8088313341140747, 1.5213286876678467, 1.7560235261917114, 1.388913869857788, 1.0886210203170776, 0.9853305220603943, 1.3291425704956055, 1.1113221645355225, 1.403652548789978)","(0.3711405783891678, 0.38544361740350724, 0.44944109320640563, 0.4614535868167877, 0.4616123214364052, 0.4984587296843529, 0.4990835517644882, 0.5377635002136231, 0.5327243834733963, 0.5514647930860519)","(0.3708, 0.385, 0.4505, 0.4622, 0.4633, 0.4989, 0.4988, 0.5378, 0.5319, 0.5528)",1.2490635957717895,0.5543999999761582,0.5544
DNCNN,"(1.3969931602478027, 1.321134328842163, 1.8082565069198608, 1.475003719329834, 1.8289096355438232, 0.9702338576316833, 1.0946338176727295, 1.2194080352783203, 1.1322816610336304, 1.059194564819336)","(0.3510568171739578, 0.4550129234790802, 0.5048001766204834, 0.541534686088562, 0.5672314941883088, 0.5930437952280044, 0.6071499586105347, 0.6167676240205765, 0.6359789729118347, 0.6462020128965378)","(0.351, 0.4553, 0.5049, 0.5416, 0.5674, 0.5934, 0.6073, 0.617, 0.6362, 0.6463)","(1.4086096286773682, 1.7335660457611084, 1.0490057468414307, 1.5711147785186768, 1.3020943403244019, 1.1427353620529175, 1.5902246236801147, 0.8308466672897339, 1.5283294916152954, 1.0619980096817017)","(0.38377803564071655, 0.3954094462096691, 0.48684209287166597, 0.5128550991415978, 0.5210529714822769, 0.5813188195228577, 0.5405267745256424, 0.579931016266346, 0.5597568392753601, 0.6283609300851822)","(0.3845, 0.394, 0.487, 0.5144, 0.5203, 0.5822, 0.5395, 0.5787, 0.5602, 0.6281)",1.0628448320388797,0.6304999947547912,0.6305
