model,test/loss,test/mClassAcc,test/mAcc,params
SimpleCNNOpt,1.623380920791626,0.4028999991714954,0.4029,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
SimpleCNNOpt,1.6307485305786134,0.3978999972343445,0.3979,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
SimpleCNNOpt,1.4992137590408323,0.4612000048160553,0.4612,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
SimpleCNNOpt,1.4732568799972534,0.4705999970436096,0.4706,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
SimpleCNNOpt,1.7681341974258422,0.3541000001132488,0.3541,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
SimpleCNNOpt,1.5826153120040891,0.4185999944806099,0.4186,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
SimpleCNNOpt,1.570958131980896,0.4340000063180923,0.434,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
SimpleCNNOpt,1.677625496673584,0.4366999953985214,0.4367,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
SimpleCNNOpt,1.8297384351730344,0.3058999992907047,0.3059,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
SimpleCNNOpt,1.831215763092041,0.3048999987542629,0.3049,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
SimpleCNNOpt,1.6323023052215575,0.4097999960184097,0.4098,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
SimpleCNNOpt,1.739758811378479,0.3532999962568283,0.3533,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
SimpleCNNOpt,1.8809740049362185,0.303499998897314,0.3035,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
SimpleCNNOpt,1.7825555124282837,0.3267999991774559,0.3268,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
SimpleCNNOpt,1.7189033515930177,0.3651000022888183,0.3651,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
SimpleCNNOpt,1.6952072578430175,0.3842000067234039,0.3842,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
DeepCNNOpt,1.4057920108795166,0.4962000042200089,0.4962,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
DeepCNNOpt,1.339606605529785,0.5178000047802925,0.5178,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
DeepCNNOpt,1.275307569503784,0.5407999992370606,0.5408,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
DeepCNNOpt,1.2231667087554932,0.5659999996423721,0.566,"{'dropout_rate': 0.25, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
DeepCNNOpt,1.421060799407959,0.4867999941110611,0.4868,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
DeepCNNOpt,1.3672357036590577,0.506400004029274,0.5064,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.001}"
DeepCNNOpt,1.27556389503479,0.5602999985218048,0.5603,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.0001}"
DeepCNNOpt,1.295360874271393,0.553399994969368,0.5534,"{'dropout_rate': 0.25, 'left_right_mirror': False, 'random_crop': False, 'weight_decay': 0.001}"
DeepCNNOpt,1.605037959098816,0.4284000039100647,0.4284,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.0001}"
DeepCNNOpt,1.510293669128418,0.4429000027477741,0.4429,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': True, 'weight_decay': 0.001}"
DeepCNNOpt,1.319784034538269,0.5260999977588654,0.5261,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.0001}"
DeepCNNOpt,1.331047833442688,0.5282999962568283,0.5283,"{'dropout_rate': 0.5, 'left_right_mirror': True, 'random_crop': False, 'weight_decay': 0.001}"
DeepCNNOpt,1.508357717514038,0.4659999921917915,0.466,"{'dropout_rate': 0.5, 'left_right_mirror': False, 'random_crop': True, 'weight_decay': 0.0001}"
