loss;miou;set
0.8868749737739563;0.33;train
0.8629279136657715;0.42;train
0.84709632396698;0.44;train
0.7201260924339294;0.43;train
0.7453519701957703;0.44;train
0.8441476225852966;0.44;train
0.8648363947868347;0.43;train
0.8820526003837585;0.43;train
0.8898544907569885;0.43;train
0.8889505863189697;0.43;train
0.9786415696144104;0.43;train
0.9373791217803955;0.43;train
0.9331738352775574;0.43;train
0.7922053933143616;0.43;train
0.9502195715904236;0.43;train
0.8423504829406738;0.43;train
0.8730978965759277;0.43;train
0.9350871443748474;0.44;train
0.9021556377410889;0.44;train
0.895926833152771;0.43;train
1.0223850011825562;0.44;train
1.043931007385254;0.43;train
0.8954131007194519;0.43;train
0.9352872371673584;0.43;train
0.7563071846961975;0.43;train
0.8902190923690796;0.43;train
0.9771984815597534;0.44;train
0.8090669512748718;0.43;train
1.0451487302780151;0.43;train
0.9498462080955505;0.43;train
0.854438066482544;0.44;train
0.9908966422080994;0.43;train
0.8724356889724731;0.44;train
1.0615148544311523;0.43;train
0.8805609345436096;0.43;train
0.8841559886932373;0.43;train
0.8855027556419373;0.43;train
0.9711160063743591;0.43;train
0.8651304244995117;0.43;train
0.8980299830436707;0.43;train
1.2770828008651733;0.28;val
1.323978066444397;0.32;val
1.2351415157318115;0.32;val
1.1631900072097778;0.32;val
1.3251314163208008;0.32;val
1.2650282382965088;0.32;val
1.0670050382614136;0.32;val
1.3250927925109863;0.32;val
1.0469727516174316;0.32;val
1.120788335800171;0.32;val
1.2485767602920532;0.32;val
1.093069314956665;0.32;val
1.3354500532150269;0.32;val
1.3314787149429321;0.32;val
1.1174166202545166;0.32;val
1.2023433446884155;0.32;val
1.2886912822723389;0.32;val
1.282591462135315;0.32;val
1.128412127494812;0.32;val
1.3269144296646118;0.32;val
